couponID,store,state,stateCode,couponSavings,couponCashValue,couponExpires,department,productName
211,Albertson's,Texas,TX,1.404200067,0.062393095,2021-08-14,Electronics,Riceland American Jazmine Rice
543,Whole Foods,Delaware,DE,7.200832112,0.040188231,2020-07-06,Spices,Caress Velvet Bliss Ultra Silkening Beauty Bar - 6 Ct
237,PCC,Nevada,NV,4.059467962,0.04747881,2020-06-07,Meat,Earth's Best Organic Fruit Yogurt Smoothie Mixed Berry
109,Safeway,South Dakota,SD,3.706367384,0.083583304,2021-09-20,Appliances,Boar's Head Sliced White American Cheese - 120 Ct
601,Grocery Outlet,Kentucky,KY,5.229114826,0.019177711,2020-06-23,Dairy,Back To Nature Gluten Free White Cheddar Rice Thin Crackers
798,QFC,Georgia,GA,1.413505541,0.084249269,2021-04-21,Baking,Sally Hansen Nail Color Magnetic 903 Silver Elements
479,Hagen's,Nebraska,NE,5.972593216,0.091170717,2020-02-26,Candy,Twinings Of London Classics Lady Grey Tea - 20 Ct
734,Sam's Club,Colorado,CO,9.398353586,0.042087216,2020-10-15,Ethnic,Lea & Perrins Marinade In-a-bag Cracked Peppercorn
630,City Market,Alaska,AK,7.060710931,0.095045407,2021-01-25,Beverages,Van De Kamp's Fillets Beer Battered - 10 Ct
870,Trader Joes,Iowa,IA,8.616077759,0.078063976,2021-11-15,Produce,Ahold Cocoa Almonds
531,Metropolitan Market,Idaho,ID,0.958653685,0.084126406,2020-04-03,Bakery,Honest Tea Peach White Tea
245,Fred Meyer,District of Columbia,DC,6.577078307,0.095180791,2020-08-19,Household,Mueller Sport Care Basic Support Level Medium Elastic Knee Support
976,Costco,Minnesota,MN,7.728582799,0.065730197,2021-06-29,Frozen,Garnier Nutritioniste Moisture Rescue Fresh Cleansing Foam
293,Amazon Fresh,Wyoming,WY,7.248631233,0.009830068,2021-07-06,Seafood,Pamprin Maximum Strength Multi-symptom Menstrual Pain Relief
208,Albertson's,California,CA,1.149186954,0.035826991,2021-12-20,Snacks,Suave Naturals Moisturizing Body Wash Creamy Tropical Coconut
532,Amazon Fresh,Michigan,MI,0.978002569,0.067886973,2020-07-03,Furniture,Burt's Bees Daily Moisturizing Cream Sensitive
480,Whole Foods,Mississippi,MS,5.663173934,0.04985031,2021-09-29,Sundries,Ducal Refried Red Beans
648,Safeway,New Mexico,NM,8.668996234,0.050463683,2020-12-15,Candy,Scotch Removable Clear Mounting Squares - 35 Ct
370,QFC,Montana,MT,5.189370962,0.060652631,2021-01-29,Beverages,Careone Family Comb Set - 8 Ct
772,Whole Foods,Indiana,IN,6.237301412,0.015214008,2020-02-26,Electronics,Plums Black
859,Metropolitan Market,North Carolina,NC,0.802822979,0.0761742,2020-05-27,Appliances,Doctor's Best Best Curcumin C3 Complex 1000mg Tablets - 120 Ct
508,Costco,Maryland,MD,50.5465465,0.027577708,2021-07-13,Electronics,Betty Crocker Twin Pack Real Potatoes Scalloped 2 Pouches For 2 Meals - 2 Pk
589,Safeway,Alabama,AL,1.485203852,0.053792432,2021-02-12,Candy,Reese Mandarin Oranges Segments In Light Syrup
616,Trader Joes,Virginia,VA,4.697874823,0.067685743,2021-04-28,Appliances,Smart Living Charcoal Lighter Fluid
394,PCC,South Carolina,SC,4.534306864,0.098063419,2020-08-05,Snacks,Hood Latte Iced Coffee Drink Vanilla Latte
127,PCC,West Virginia,WV,2.224208301,0.059623394,2021-12-30,Produce,Triaminic Syrup Night Time Cold & Cough Grape 4oz
939,Amazon Fresh,Pennsylvania,PA,2.816665383,0.066935314,2021-02-10,Dairy,Morton Kosher Salt Coarse
272,Amazon Fresh,Louisiana,LA,1.571338205,0.012635546,2021-04-03,Baking,Guava
221,Albertson's,New Jersey,NJ,7.406885117,0.046149553,2022-06-16,Meat,Heinz Tomato Ketchup - 2 Ct
809,Trader Joes,New York,NY,4.649763604,0.02205485,2022-05-21,Candy,"Petmate Booda Bones Steak, Bacon & Chicken Flavors - 9 Ct"
126,Hagen's,Oklahoma,OK,7.767784783,0.042361421,2022-03-31,Ethnic,Zhena's Gypsy Tea Herbal Red Tea Sachets Fire Light Chai - 22 Ct
958,Hagen's,Utah,UT,8.174535042,0.094914066,2021-03-28,Baking,Barefoot Pinot Grigio 187
909,Sam's Club,Hawaii,HI,1.150453694,0.031283007,2021-10-08,Ethnic,Tomy The First Years Gumdrop Orthodontic Pacifiers 6m+ - 2ct
77,Amazon Fresh,Tennessee,TN,4.728800784,0.0296335,2020-03-02,Bakery,Halls Menthol Cough Suppresant/oral Anesthetic Drops Honey-lemon - 30 Ct
33,Metropolitan Market,Oregon,OR,1.081891065,0.087451058,2021-02-10,Sundries,Nature's Way Forskohlii - 60 Ct
737,Sam's Club,Ohio,OH,4.332151642,0.063565809,2020-08-18,Baking,Rice Bran Gluten Free Dinner Rolls Plain
848,Trader Joes,Florida,FL,3.385554763,0.030199749,2022-01-18,Ethnic,Nakano Seasoned Rice Vinegar Original
953,Hagen's,Rhode Island,RI,4.323723999,0.084434532,2021-11-10,Produce,"Sundown Naturals Essential Electrolytes Tropical Punch, Watermelon And Fruit Punch Gummies - 60 Ct"
876,Amazon Fresh,Washington,WA,1.212174085,0.082980075,2022-01-24,Candy,Munchies Sandwich Crackers Cheddar Cheese On Golden Toast Crackers - 8 Pk
851,Albertson's,Arizona,AZ,3.009088897,0.058745314,2021-08-20,Electronics,Amy's Light & Lean Spaghetti Italiano
614,Trader Joes,North Dakota,ND,3.928361918,0.059899135,2022-03-28,Spices,P.f. Chang's Home Menu Meal For Two Beef With Broccoli
522,Amazon Fresh,Missouri,MO,6.313952542,0.02930552,2020-01-18,Ethnic,Mom's Best Naturals Cereal Toasted Cinnamon Squares
268,City Market,Arkansas,AR,8.851783559,0.054869652,2020-12-06,Electronics,Ferrara Vanilla Syrup
862,Albertson's,Illinois,IL,7.480599207,0.058969574,2020-01-25,Ethnic,Elmer's Board Mate Dual Tip Glue Pen
30,Metropolitan Market,Maine,ME,4.403916956,0.019328062,2020-02-19,Produce,Kellogg's Disney Pixar Cars 2 Cereal
248,Hagen's,Massachusetts,MA,2.065872878,0.035601309,2020-01-13,Appliances,Pizza Sauce
315,Albertson's,Kansas,KS,6.463230227,0.094677122,2020-07-02,Ethnic,Bear Naked Fit Almond Crisp 100% Natural Energy Cereal
509,PCC,Wisconsin,WI,9.265907224,0.090134695,2022-04-03,Bakery,Dove Men + Care Antiperspirant Deodorant Cool Silver
278,Fred Meyer,Vermont,VT,8.363584726,0.04040147,2020-06-16,Baking,Easy-off Oven Cleaner Lemon Scent
106,Safeway,New Hampshire,NH,9.820742663,0.020832714,2021-02-12,Bakery,Choice Organic Teas Black Tea Classic Black - 16 Ct
955,Amazon Fresh,Connecticut,CT,5.718173962,0.083867684,2022-05-17,Seafood,Careone Lubricating Jelly
914,Albertson's,Delaware,DE,1.641535146,0.01986688,2021-07-14,Candy,Sacla Italia Sun Dried Pesto Sauce
899,Trader Joes,Texas,TX,6.407745263,0.005225533,2022-01-01,Meat,Huggies Natural Care Wipes - 3 Pk
360,Grocery Outlet,Indiana,IN,2.356049411,0.003262036,2021-07-28,Dairy,Serpis Green Olives Stuffed With Spicy Chorizo
472,Sam's Club,Illinois,IL,5.390488759,0.097042428,2022-01-27,Furniture,Ripken Power Shred Beef Jerky Teriyaki
544,Costco,Connecticut,CT,8.152356939,0.007208326,2021-10-09,Produce,Arnold Bread Jewish Rye Everything
107,PCC,Connecticut,CT,7.24415971,0.061990028,2022-02-20,Candy,Traditional Medicinals Herbal Tea Bags Just For Kids Organic Nighty Night - 18 Ct
926,Metropolitan Market,New York,NY,3.580706606,0.089545039,2021-04-05,Frozen,Perry's Ice Cream Panda Paws
123,Whole Foods,Virginia,VA,7.895244319,0.094531526,2021-03-02,Sundries,Black Swan Shiraz Merlot 1.5
585,Trader Joes,Nevada,NV,7.337235994,0.016911408,2022-01-28,Seafood,Maty's All Natural Kids 1+ Caramel Banana Taste Cough Syrup
206,Grocery Outlet,Washington,WA,8.596405372,0.086062088,2021-10-26,Snacks,Kraft Anything Dressing Honey Mustard
567,Grocery Outlet,Maryland,MD,4.114502387,0.087404878,2021-10-24,Produce,Eight O'clock Coffee Dark Italian Roast Ground
49,City Market,Montana,MT,7.70825648,0.008847173,2020-07-02,Sundries,Ahold Honey Mustard
785,Metropolitan Market,Wyoming,WY,8.186855556,0.056268154,2021-03-05,Snacks,Enzymatic Therapy Acidophilus Pearls Active Cultures Dietary Supplement - 30 Ct
114,Albertson's,California,CA,4.721422446,0.046744725,2020-03-01,Sundries,Ahold Complete Buttermilk Pancake & Waffle Mix
147,Sam's Club,Texas,TX,1.179772801,0.096214017,2020-08-19,Household,Salsa Habanero
591,Albertson's,Utah,UT,3.897973233,0.083182908,2020-11-26,Dairy,Say-it Sandwich & Snack Bags- 60 Pk
220,City Market,Rhode Island,RI,5.498729008,0.070174059,2020-09-13,Candy,Hillshire Farm Deli Select Smoked Ham With Water Added Ultra Thin
679,QFC,Oregon,OR,2.099493886,0.089972134,2020-07-04,Frozen,Nestle Coffee-mate Fat Free Hazelnut Flavor Coffee Creamer
142,PCC,Kansas,KS,5.620859375,0.052095427,2021-02-17,Dairy,Careone Cotton Swabs
374,Metropolitan Market,Vermont,VT,2.734577232,0.008555555,2021-11-29,Dairy,1-day Vaginal Antifungal Prefilled Applicator 1-dose Treatment
41,Albertson's,Maryland,MD,2.573511073,0.012352892,2020-02-02,Ethnic,Preparation H Hemorrhoidal Ointment
218,QFC,Kansas,KS,3.262640686,0.04939488,2020-03-17,Ethnic,"Roth Kase Mini Cheeseboard Kit Havarti, Gruyere & Pepper Jack - 3 Ct"
944,PCC,Ohio,OH,7.68577865,0.082323826,2021-05-09,Electronics,Firm Grip Disposable Nitrile Gloves - 10 Gloves
573,Hagen's,Arkansas,AR,4.9017559,0.050167609,2020-10-23,Candy,Downy Ultra Infusions Orchid Allure Fabric Softener - 48 Loads
418,City Market,Kansas,KS,2.013957591,0.040771557,2020-06-19,Bakery,Hostess Mini Muffins Chocolate Chip - 20 Ct
